ID	Flight Number	Departure Airport ID	Destination Airport ID	Departure Time	Arrival Time	Price	Number of Seats
1	001	1	2	2023-04-11 08:25:02	2023-04-11 10:25:17	21.00	0
2	002	2	3	2023-04-11 15:25:34	2023-04-11 22:25:45	33.00	0
4	003	1	4	2023-04-11 08:39:33	2024-09-13 05:39:37	100.00	0
5	004	2	1	2023-04-11 15:39:57	2023-04-11 02:40:08	55.00	0
6	005	4	2	2023-04-11 08:41:10	2023-04-11 13:41:13	10.00	0
7	006	3	4	2023-04-11 22:41:36	2023-04-12 02:41:41	67.00	0
13	012	4	13	2023-09-11 09:19:54	2023-09-11 16:20:09	345.00	0
14	013	3	1	2023-10-11 09:20:13	2023-10-11 12:20:19	34.00	0
15	014	12	8	2023-12-11 12:20:24	2023-12-11 15:20:28	12.00	0
16	015	12	9	2023-11-11 11:20:32	2023-11-11 12:20:38	42.00	0
21	016	12	9	2024-04-28 02:08:09	2024-04-29 04:08:13	23.00	55
24	111	2	1	2023-05-02 15:42:28	2024-05-02 15:42:33	14.00	21
29	777	13	4	2024-09-13 02:39:37	2024-09-13 06:39:37	242.00	45
